camera_id,timestamp,md5,bicycle,car,motorcycle,bus,train,truck,total
4716,2022-10-01 05:02:00,5afdb1ffe15f7f09e6ad1cd8d152cb9c,0,5,0,0,0,0,5
4716,2022-10-01 05:07:00,584fb1132b56db46b72ab1dc88695cd2,0,1,0,0,0,0,1
4716,2022-10-01 05:11:00,ade078d7c26d6d94bf3ab48f8c06bbca,0,2,0,0,0,0,2
4716,2022-10-01 05:16:00,f37fcdf6c28c7daf66a62f9d792ece17,0,7,0,0,0,0,7
4716,2022-10-01 05:21:00,0df9ff544b961fac4b1d4fa1cf7d808e,0,4,0,0,0,0,4
4716,2022-10-01 05:26:00,c2d965d6af79dec2fdfae001eddb172f,0,4,0,0,0,0,4
4716,2022-10-01 05:31:00,cbfeec937575fb43ce5d8c4fe9a2cc6d,0,1,0,0,0,0,1
4716,2022-10-01 05:37:00,0ce3e7a757aefc9037e69583c2cb413e,0,2,0,0,0,0,2
4716,2022-10-01 05:41:00,9b401cdd790b6f75f3af63f4e863a7e2,0,3,0,0,0,0,3
4716,2022-10-01 05:46:00,5dec2fef1ed0d4ae84ea8084ad647949,0,2,0,0,0,0,2
4716,2022-10-01 05:52:00,572a2cbaa10445dc260b53eba3b29323,0,3,0,0,0,0,3
4716,2022-10-01 05:57:00,702d89f4130d57e2265c90d74f16e515,0,1,0,0,0,1,2
4716,2022-10-01 06:01:00,a09c8fcb3c766378fb258590265fe6d5,0,2,0,0,0,0,2
4716,2022-10-01 06:07:00,f99ca7164adf57d18e0ae2419ef9105d,0,5,0,0,1,0,6
4716,2022-10-01 06:11:00,68452be1f9c2e66d5d8f96270f264c30,0,5,0,0,1,0,6
4716,2022-10-01 06:17:00,5d293746bedaa62e1a4ef59248d7464d,0,3,0,0,0,0,3
4716,2022-10-01 06:22:00,201c4151f8af8bf907c89d676eb7b091,0,4,0,0,0,0,4
4716,2022-10-01 06:26:00,4c364a7b05679f703226374aa5aecfc6,0,2,0,0,1,0,3
