camera_id,latitude,longitude,height,width,mean,std,0%,10%,20%,30%,40%,50%,60%,70%,80%,90%,100%,med_thres,hi_thres
1702,1.34355015,103.8601984,1080,1920,18.713086074177813,9.263861145186155,0.0,5.0,8.0,12.0,17.666666666666668,21.333333333333332,23.666666666666668,25.333333333333332,27.0,29.0,47.333333333333336,21.333333333333332,27.0
2705,1.36728572,103.7794698,1080,1920,3.578458789714928,3.6758582605282033,0.0,0.0,0.3333333333333333,0.6666666666666666,1.6666666666666667,2.6666666666666665,4.0,5.0,6.333333333333333,8.0,20.0,2.6666666666666665,6.333333333333333
2706,1.414142,103.771168,1080,1920,10.743697478991633,8.360349574143312,0.0,0.6666666666666666,1.6666666666666667,3.3333333333333335,6.666666666666667,11.0,14.0,16.0,18.333333333333332,21.666666666666668,35.333333333333336,11.0,18.333333333333332
3702,1.33831,103.98032,1080,1920,3.5869531371633303,2.5929682084066994,0.0,0.3333333333333333,1.0,1.6666666666666667,2.6666666666666665,3.3333333333333335,4.0,5.0,6.0,7.0,15.666666666666666,3.3333333333333335,6.0
3793,1.309330837,103.9350504,1080,1920,1.8027012299548437,1.9206236388571083,0.0,0.0,0.0,0.3333333333333333,0.5,1.0,2.0,2.6666666666666665,3.6666666666666665,4.666666666666667,11.0,1.0,3.6666666666666665
3797,1.295657333,103.885283,1080,1920,7.239936151989393,6.866923482636114,0.0,0.0,0.3333333333333333,1.0,2.3333333333333335,6.333333333333333,9.666666666666666,11.333333333333334,13.666666666666666,17.0,31.0,6.333333333333333,13.666666666666666
4702,1.27237,103.8324,1080,1920,3.7880874572051284,4.083679986013268,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,2.3333333333333335,4.666666666666667,6.0,7.666666666666667,9.666666666666666,25.333333333333332,2.3333333333333335,7.666666666666667
4706,1.29792,103.78205,1080,1920,5.957156198925978,4.667267130311219,0.0,0.3333333333333333,1.0,2.0,4.0,6.0,7.333333333333333,8.666666666666666,10.333333333333334,12.0,24.333333333333332,6.0,10.333333333333334
4708,1.29939,103.7799,1080,1920,6.2421163279607645,5.185397581152917,0.0,0.3333333333333333,1.0,1.6666666666666667,3.0,5.666666666666667,8.0,9.666666666666666,11.333333333333334,13.333333333333334,23.333333333333332,5.666666666666667,11.333333333333334
4799,1.260277774,103.8238889,1080,1920,3.0738529962546917,3.069901756207509,0.0,0.0,0.0,0.3333333333333333,1.0,2.3333333333333335,3.6666666666666665,4.666666666666667,6.0,7.333333333333333,23.333333333333332,2.3333333333333335,6.0
5795,1.326024822,103.905625,1080,1920,10.00346816304264,7.647439126929326,0.0,0.6666666666666666,1.3333333333333333,3.0,6.0,10.0,14.0,16.0,17.333333333333332,20.0,30.0,10.0,17.333333333333332
6704,1.326574036,103.8268573,1080,1920,13.500078616352164,9.33077875340565,0.0,1.0,2.6666666666666665,5.666666666666667,10.0,14.333333333333334,18.0,20.0,22.333333333333332,25.333333333333332,36.0,14.333333333333334,22.333333333333332
6708,1.345996,103.69016,1080,1920,4.279130570514315,4.458275988143897,0.0,0.0,0.3333333333333333,0.6666666666666666,1.6666666666666667,2.6666666666666665,4.333333333333333,6.0,7.666666666666667,10.333333333333334,29.333333333333332,2.6666666666666665,7.666666666666667
6710,1.344205,103.78577,1080,1920,8.093759762574177,6.3867206463824,0.0,0.6666666666666666,1.3333333333333333,2.6666666666666665,5.333333333333333,7.666666666666667,9.666666666666666,11.666666666666666,13.666666666666666,16.666666666666668,33.0,7.666666666666667,13.666666666666666
6715,1.356299,103.716071,1080,1920,2.291383219954651,2.8444438138885175,0.0,0.0,0.0,0.3333333333333333,1.0,1.3333333333333333,2.3333333333333335,3.0,4.0,5.333333333333333,21.666666666666668,1.3333333333333333,4.0
7793,1.37704704,103.9294698,1080,1920,5.764223835167395,6.0457976764938,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,5.0,8.0,9.666666666666666,11.0,13.333333333333334,28.0,5.0,11.0
7794,1.37988658,103.9200917,1080,1920,5.160383985015211,4.727141701212859,0.0,0.0,0.3333333333333333,1.0,1.6666666666666667,4.333333333333333,7.0,8.333333333333334,9.666666666666666,11.333333333333334,24.0,4.333333333333333,9.666666666666666
7797,1.40002575,103.8570253,1080,1920,4.0271662763466205,4.596506975987296,0.0,0.0,0.0,0.0,0.3333333333333333,1.6666666666666667,4.666666666666667,6.666666666666667,8.333333333333334,11.0,21.333333333333332,1.6666666666666667,8.333333333333334
8701,1.38647,103.74143,1080,1920,1.3518995241438436,2.1121031229686023,0.0,0.0,0.0,0.0,0.3333333333333333,0.5,1.0,1.6666666666666667,2.3333333333333335,3.6666666666666665,19.0,0.5,2.3333333333333335
8704,1.3899,103.74843,1080,1920,2.546754159831271,3.133522614614284,0.0,0.0,0.0,0.3333333333333333,1.0,1.3333333333333333,2.3333333333333335,3.3333333333333335,4.466666666666697,6.666666666666667,28.666666666666668,1.3333333333333333,4.466666666666697
9706,1.41270056,103.8064271,1080,1920,3.0995375813151598,3.1831393187918455,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,2.0,3.6666666666666665,4.666666666666667,6.0,7.666666666666667,19.666666666666668,2.0,6.0
